  -6.0513308e-01  -5.6904880e-01  -5.3183650e-01  -4.9363667e-01  -4.5713096e-01  -4.2296722e-01  -3.9234687e-01  -3.6513733e-01
  -6.3442957e-01  -5.9699974e-01  -5.5753244e-01  -5.1643286e-01  -4.7697287e-01  -4.3930814e-01  -4.0621237e-01  -3.7559727e-01
  -4.7416667e-04   6.3650000e-03  -1.9030556e-03  -9.5444444e-04   1.2175000e-03   6.9500000e-04   5.8027778e-04   7.8555556e-04
   1.1971875e-03   1.5859375e-04   3.0467187e-03  -3.0110938e-03   4.8453125e-04   2.5500000e-04  -7.2125000e-04   1.9906250e-04
   3.3176602e-01   3.6955087e-01   3.7852416e-01   3.7390685e-01   3.4872579e-01   3.2040084e-01   2.8628138e-01   2.5731281e-01
   3.4116476e-01   3.8902806e-01   4.0933906e-01   4.0230727e-01   3.8530866e-01   3.5455580e-01   3.1604891e-01   2.7593716e-01
   1.1163477e+00   1.1423211e+00   1.1103148e+00   1.0234655e+00   9.4712916e-01   8.5908834e-01   7.9321868e-01   7.3260885e-01
   9.1975510e-01   1.0452101e+00   1.0564325e+00   9.9532991e-01   9.3451889e-01   8.6073147e-01   7.9900241e-01   7.4060621e-01
   2.5033094e-01   1.3443249e-01   6.1614353e-02   2.7651911e-02   1.9253867e-02   9.8212522e-03   5.8632744e-03   5.5373800e-03
   3.8296572e-01   2.2213920e-01   1.0344932e-01   5.1178935e-02   2.2466706e-02   1.1284249e-02   8.3074650e-03   5.5799650e-03
   6.5283397e-01   5.4255192e-01   4.5000338e-01   3.3685655e-01   2.5556778e-01   1.8877385e-01   1.3991160e-01   1.1557348e-01
   7.0766144e-01   6.0283628e-01   5.0942717e-01   3.7503096e-01   2.5632425e-01   1.6537124e-01   1.1844636e-01   6.9139586e-02
