  -1.5706124e+00  -1.5468367e+00  -1.5279295e+00  -1.4975183e+00
  -1.6287362e+00  -1.6094885e+00  -1.6050542e+00  -1.5756489e+00
  -2.2159375e-02   2.1325000e-02   3.7656250e-03  -1.5862500e-02
  -1.4378704e-02  -4.6787037e-03   4.2175926e-03  -3.2268519e-04
   3.9037270e-02   5.7458991e-02   5.9760998e-02   6.9022115e-02
   2.4221049e-02   3.3657592e-02   3.6985012e-02   4.4176413e-02
   8.7991355e-02   1.1320235e-01   1.3810314e-01   1.3095135e-01
   4.3560731e-02   6.1565754e-02   4.9871409e-02   6.5118017e-02
   7.2315807e-01   6.0058882e-01   5.5325232e-01   4.5082742e-01
   7.8106162e-01   6.9103540e-01   6.7686700e-01   5.9951831e-01
   6.4363259e-01   6.2379331e-01   6.2506532e-01   6.6346298e-01
   5.2965852e-01   5.8316172e-01   4.4287106e-01   7.7232957e-01
