1.000000000e-01 -3.585832287e-08 2.992950590e-07 -8.950818567e+00 1.506955775e-05 1.066932171e-03 2.765137889e-07 0.000000000e+00 0.000000000e+00 -1.752091570e+05 4.101808255e-01 1.874658871e-04 5.279462815e-09
5.888888889e-01 1.767118255e-07 3.006162367e-07 -8.950526502e+00 1.500806561e-05 1.068678724e-03 2.773574413e-07 0.000000000e+00 0.000000000e+00 -1.752144822e+05 4.080716604e-01 1.875717890e-04 5.268654774e-09
1.077777778e+00 -2.436167079e-07 3.008787039e-07 -8.947881534e+00 1.510285175e-05 1.088610892e-03 2.877302456e-07 0.000000000e+00 0.000000000e+00 -1.752566203e+05 4.096262593e-01 1.885613079e-04 5.354897898e-09
1.566666667e+00 -6.681420192e-07 3.023249155e-07 -8.940802060e+00 1.555296405e-05 1.140583465e-03 3.239601251e-07 0.000000000e+00 0.000000000e+00 -1.753717265e+05 4.129302938e-01 1.912172918e-04 5.754869100e-09
2.055555556e+00 -1.336838921e-07 3.046373827e-07 -8.927901768e+00 1.650473293e-05 1.231855731e-03 3.754767312e-07 0.000000000e+00 0.000000000e+00 -1.755818496e+05 4.215758044e-01 1.961292701e-04 6.402095837e-09
2.544444444e+00 5.626410309e-07 3.073415373e-07 -8.908156946e+00 1.790506054e-05 1.371995111e-03 4.645505964e-07 0.000000000e+00 0.000000000e+00 -1.759075010e+05 4.326671060e-01 2.038411924e-04 7.548721776e-09
3.033333333e+00 -2.456083494e-07 3.114991717e-07 -8.880131665e+00 1.995680998e-05 1.574543550e-03 5.965588628e-07 0.000000000e+00 0.000000000e+00 -1.763717844e+05 4.496313892e-01 2.152659635e-04 9.427091521e-09
3.522222222e+00 -4.033608334e-07 3.162221221e-07 -8.842090537e+00 2.291888787e-05 1.853070050e-03 7.868529610e-07 0.000000000e+00 0.000000000e+00 -1.770045577e+05 4.745120470e-01 2.317167901e-04 1.249959734e-08
4.011111111e+00 9.543727761e-08 3.233112619e-07 -8.791799543e+00 2.702216530e-05 2.232647028e-03 1.053656655e-06 0.000000000e+00 0.000000000e+00 -1.778446448e+05 5.084686251e-01 2.552398782e-04 1.758700433e-08
4.500000000e+00 1.506934727e-07 3.316844368e-07 -8.726529057e+00 3.279435232e-05 2.759534301e-03 1.445477535e-06 0.000000000e+00 0.000000000e+00 -1.789351145e+05 5.574523824e-01 2.891219406e-04 2.631608078e-08
5.000000000e+00 -1.182361006e-06 6.958438276e-07 -8.641255671e+00 8.379134101e-05 3.503384566e-03 4.145934683e-06 0.000000000e+00 0.000000000e+00 -1.803594923e+05 1.273848208e+00 3.396688973e-04 8.663054286e-08
5.516129032e+00 -1.911580909e-07 7.201682470e-07 -8.530286687e+00 1.080281657e-04 4.602577159e-03 6.131737027e-06 0.000000000e+00 0.000000000e+00 -1.822110098e+05 1.467652461e+00 4.179551099e-04 1.558276386e-07
